,"Percent of Students Passing SOL Tests Spring 1998 - 2002, by Gender",,,,,,,,,,
,,,,,,,,,,,
,SOL Test,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male
,,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002
,Grade 3,,,,,,,,,,
,English,60,50,66,57,66,56,69,61,75,68
,Mathematics,63,64,68,68,71,72,77,77,81,80
,History,48,50,61,64,64,66,71,73,77,76
,Science,61,65,67,70,72,73,72,76,77,79
,,,,,,,,,,,
,Grade 5,,,,,,,,,,
,English: Reading ,72,64,73,66,71,66,76,70,81,75
,English:Writing,72,57,86,75,86,75,89,80,88,79
,Mathematics,47,46,51,50,64,63,67,66,72,70
,History,30,36,43,49,48,54,61,64,71,74
,Science,58,61,64,70,61,67,73,76,74,78
,Computer/Technology,74,71,82,80,86,84,84,81,88,84
,,,,,,,,,,,
,Grade 8,,,,,,,,,,
,English: Reading ,71,59,71,59,74,66,77,69,74,65
,English: Writing,76,59,78,62,83,70,82,69,82,69
,Mathematics,53,53,53,53,62,61,70,67,74,68
,History,32,38,32,38,47,53,53,60,77,79
,Science,70,72,70,72,81,83,84,84,85,85
,Computer/Technology,65,62,65,62,80,75,82,76,80,73
,,,,,,,,,,,
,High School,,,,,,,,,,
,English: Reading ,78,65,80,70,83,73,86,78,89,83
,English: Writing,78,63,87,75,90,80,89,80,90,81
,Algebra I,41,40,57,55,67,64,76,73,80,77
,Geometry,49,55,59,66,63,71,71,76,74,78
,Algebra II,29,33,50,53,57,59,74,74,78,76
,U. S. History,27,34,28,36,34,44,43,52,68,75
,World History I,61,63,67,69,74,77,82,84,85,87
,World History II,39,43,43,51,56,63,61,69,77,80
,World Geography,N/A,N/A,N/A,N/A,74,77,76,78,72,77
,Biology,72,73,83,80,80,79,82,81,83,83
,Chemistry,53,56,64,64,63,65,72,76,77,80
,Earth Science,54,61,62,68,69,71,71,75,67,73
,,,,,,,,,,,
,Spring pass rates do not include summer or fall results,,,,,,,,,,